,书名,作者,出版社,出版年,页数,定价,装帧,丛书,ISBN,出品方,原作名,译者,副标题,统一书号
41,寻路中国,[美国]彼得·海斯勒,上海译文出版社,2011-1,426,33.00元,平装,译文纪实,9787532752805,,Country Driving,李雪顺,从乡村到工厂的自驾之旅,
42,刀锋,[英]毛姆,上海译文出版社,2007-3,318,18.00元,平装,译文名著文库,9787532741922,,The Razor's Edge,周煦良,,
43,我与地坛,史铁生,春风文艺出版社,2002-5,399,25.00元,平装,春风文艺社·新经典文库,9787531324362,,,,史铁生代表作,
44,射雕英雄传（全四册）,金庸,生活·读书·新知三联书店,1999-04,1263,47.00元,平装,金庸作品集（三联口袋本）,9787108012586,,,,,
45,格林童话全集,[德国]格林兄弟,人民文学出版社,1994-11,625,21.45元,精装,世界文学名著文库,9787020019526,,Kinder-und Hausmärchen,魏以新,,
46,傲慢与偏见,[英]简·奥斯汀,人民文学出版社,1993-7,310,13.00元,平装,名著名译插图本,9787020040179,,Pride and Prejudice,张玲/张扬,,
47,黄金时代,王小波,花城出版社,1999-3,375,19.00元,平装,王小波《时代三部曲》,9787536025080,,,,时代三部曲,
48,野草,鲁迅,人民文学出版社,1973-3,62,0.20元,平装,鲁迅作品集,,,,,,10019-1981
49,无人生还,[英]阿加莎·克里斯蒂,人民文学出版社,2008-3,254,19.00,平装,阿加莎·克里斯蒂侦探推理系列,9787020065394,99读书人,And Then There Were None,祁阿红,,
50,艺术的故事,[英国]E·H·贡布里希,广西美术出版社,2008-04,688,280.00,平装,贡布里希文集,9787807463726,,The Story of Art,范景中/杨成凯,,
51,历史深处的忧虑,林达,生活·读书·新知三联书店,1997-5,320,19.00元,平装,林达作品系列,9787108010186,,,,近距离看美国之一,
52,彷徨,鲁迅,人民文学出版社,1973-3,162,0.37元,平装,鲁迅作品集,,,,,,10019-1982
53,神雕侠侣,金庸,生活·读书·新知三联书店,1994-5,1564,76.80元,平装,金庸作品集（三联版）,9787108006660,,神鵰俠侶,有1996年11月北平第4次印本,,
54,朝花夕拾,鲁迅,人民文学出版社,1972-4,92,0.25元,平装,鲁迅作品集,,,,,,10019-1985
55,树上的男爵,[意] 伊塔洛·卡尔维诺,译林出版社,2012-4-1,280,30.00元,精装,卡尔维诺经典,9787544722803,,The Baron in the Trees,吴正仪,,
56,邓小平时代,[美] 傅高义,生活·读书·新知三联书店,2013-1,754,88.00元,平装,,9787108041531,,Deng Xiaoping and the Transformation of China,冯克利,,
